바파,68,175
라바,86,182
다자,46,147
나파,94,191
바차,49,195
하하,57,190
하가,94,191
마마,69,194
다라,90,156
나차,72,198
다라,48,150
타차,87,199
나차,40,144
다파,97,182
가라,68,193
카카,78,144
가파,76,175
차자,65,169
하아,97,199
자타,58,190
자라,66,167
카타,78,170
가하,75,169
가카,53,182
아차,54,164
카파,47,185
라카,83,158
차아,97,195
다다,41,183
사바,43,193
나파,99,149
다아,47,152
사타,44,161
라아,97,149
다차,82,144
가카,76,189
마나,60,195
자파,49,180
카하,63,184
마카,98,198
마라,99,146
마자,48,161
차자,48,142
사아,95,184
바나,83,153
사카,56,182
가가,55,140
하타,56,156
카라,73,181
나다,80,171
가사,44,155
바사,97,197
사나,72,166
자나,83,166
나나,88,192
자사,80,162
카가,55,149
마나,94,167
아라,99,181
가나,85,175
사마,90,189
파마,82,182
타사,95,164
바마,63,190
자나,41,179
마차,97,157
사바,79,147
하카,54,183
타다,56,198
마아,49,157
가가,99,172
차마,46,189
라가,78,177
카다,77,173
나가,80,173
마가,80,182
나마,75,191
타바,98,152
바마,41,167
타사,99,145
자카,93,188
하차,63,160
하다,61,155
자라,91,157
아바,52,160
라자,83,153
아나,53,193
아사,84,152
다마,56,144
사다,77,183
마나,45,151
가차,78,153
파다,62,150
다다,43,151
바파,57,166
자타,83,152
바라,96,195
자카,61,141
카자,92,163
하나,74,187
바나,52,161
마라,55,161
하바,50,197
나카,89,180
카타,41,199
타카,88,171
타다,43,193
차나,40,197
타카,67,190
하가,69,183
사마,76,160
자가,67,143
하마,52,172
바가,93,177
라가,52,193
차타,91,153
마차,59,165
카아,71,161
차차,72,181
자가,78,165
파마,53,162
하파,91,198
가라,74,188
차하,62,191
아다,56,193
하가,40,168
나마,98,185
차아,59,197
자타,82,167
차나,54,172
타가,72,191
하파,91,158
파파,55,180
카마,79,161
아마,60,143
나하,73,160
자라,68,196
가마,74,188
다나,58,173
하자,62,191
가파,40,164
나라,72,158
마아,97,190
자아,80,184
마나,75,164
카하,41,149
자다,86,188
타아,72,162
나나,72,174
다사,98,164
바바,46,168
마아,77,152
다가,91,165
파마,76,157
바파,52,193
나다,50,181
나다,61,183
마사,73,188
다파,86,192
라하,90,144
사사,48,152
자가,54,193
아아,89,145
타사,97,140
마자,96,164
나아,92,149
아사,62,188
자나,86,148
나사,55,177
하라,94,176
하자,79,187
카마,59,199
마라,53,158
가마,93,155
바하,82,143
타카,88,198
파하,56,149
자바,53,187
파하,87,154
타차,86,171
사카,89,192
파마,73,179
라사,71,158
다차,80,194
가하,59,170
나라,86,195
파다,86,182
차아,44,157
카아,93,158
아타,94,145
파파,41,155
나카,45,154
바파,61,189
파가,57,154
가사,56,154
사사,86,185
하바,42,198
카자,44,197
다사,44,195
가다,58,165
차자,67,165
바타,63,158
아바,74,197
사마,73,150
타자,54,193
카아,76,193
차카,52,143
파라,45,199
바나,64,196
바아,91,185
바마,87,169
차나,49,192
다파,83,197
바자,98,141
파카,51,188
라아,82,196
차파,71,159
카사,86,192
나가,47,199
나마,76,144
가바,58,174
마사,94,144
타하,68,144
사하,85,144
카가,94,188
파아,63,154
사타,62,151
바바,56,144
자사,58,154
카아,52,147
마자,44,146
나마,41,168
하다,96,188
마타,60,173
라아,61,160
마라,92,150
가파,50,198
하사,59,141
아가,81,195
아하,80,147
파카,97,146
마카,82,170
라다,93,148
파마,67,196
가다,94,149
사다,89,153
다아,58,181
차차,93,165
하바,40,193
카나,72,148
사사,84,141
자마,69,143
아사,84,159
아바,93,146
자차,78,192
하가,64,185
가아,88,175
나나,89,187
마사,91,164
타아,49,148
자타,87,197
사아,44,199
카차,54,195
하사,76,195
카마,75,154
자라,66,152
가라,83,166
마나,68,197
자타,69,145
다카,87,167
카자,76,159
자나,55,151
자차,87,196
바마,42,152
바하,67,167
가아,84,178
타마,44,168
차카,99,195
사가,76,144
나파,70,179
가다,99,184
라나,87,192
하바,55,143
라라,92,197
마가,47,183
사카,43,148
사파,75,186
아차,78,192
타마,41,192
마자,65,191
마바,59,183
차차,89,173
가하,84,186
하다,98,147
하라,57,151
마다,78,188
마라,91,189
사아,87,157
사자,80,167
타차,79,145
나아,85,146
하차,54,146
가파,81,142
가바,79,192
사마,96,177
자차,78,185
나가,49,149
라자,78,156
사파,90,153
타하,78,187
아다,80,140
아다,72,178
카차,70,150
카바,96,174
사바,98,156
카가,88,181
가카,59,188
차라,71,180
사나,98,195
카하,91,186
타사,63,150
마하,86,155
라나,44,153
파자,64,167
파카,44,158
파바,50,149
타하,98,170
자나,96,141
라자,49,186
하다,81,190
가자,58,173
바하,74,140
아나,86,182
사가,65,141
바사,74,162
라마,85,157
차아,45,175
타마,46,145
라라,93,173
라나,96,195
가다,93,161
다다,47,190
타파,73,149
타아,76,140
라자,91,198
다나,98,199
가파,69,179
라자,87,181
마바,45,147
아마,44,175
바나,68,198
라마,66,193
바아,49,143
다자,58,141
카사,68,179
타카,86,162
아자,56,146
아하,99,181
나다,62,161
사사,52,179
자파,86,191
파카,80,183
카카,53,186
카사,89,177
가하,83,164
타마,85,167
다아,53,148
아하,92,140
사자,72,190
파바,85,159
라카,86,180
카하,67,182
사나,58,174
사사,40,144
마타,52,170
하아,85,182
나파,62,177
사나,45,199
사타,85,148
다파,94,171
타차,63,198
가자,72,183
카마,52,151
아라,81,197
마아,53,172
카파,62,161
나파,82,169
마하,40,196
나카,75,194
바마,48,149
사나,74,151
다하,63,143
바가,97,165
다아,91,161
사가,43,154
바카,53,140
바자,60,177
라타,89,195
라다,54,184
차다,66,171
마타,95,196
마바,60,192
차마,51,141
카다,89,160
아파,53,191
하라,81,157
라하,50,193
라카,53,183
마사,90,186
가마,61,155
가가,40,168
바자,41,143
하파,58,165
마파,84,197
라자,54,177
사파,67,178
차나,75,172
마아,66,172
나차,84,157
다차,59,166
파라,82,145
차마,44,184
바타,42,185
타아,43,150
차가,43,149
나자,69,154
카나,56,175
다아,50,155
타타,40,145
바나,82,144
파바,43,175
가라,77,182
아파,75,142
차다,55,142
가다,80,157
사나,69,174
하자,77,199
마나,84,158
바가,91,169
나나,71,188
차타,58,154
가사,86,152
아다,90,190
사카,74,172
타가,95,149
나카,97,194
가사,60,150
라아,42,171
자사,77,188
하사,65,172
자라,44,141
타다,98,174
다나,54,142
파자,65,182
라마,70,143
하차,74,140
다카,45,163
다가,91,175
마타,99,186
라사,69,173
자자,67,166
자자,56,157
다나,70,187
나파,66,176
자다,46,198
자사,58,192
하가,68,191
자자,57,191
나다,85,198
가나,44,181
차아,72,141
차사,82,190
다바,58,142
마파,86,154
타라,62,197
파하,62,194
자카,94,153
라나,94,140
나나,90,158
바라,49,167
다자,89,172
아아,98,152
아자,95,142
다파,73,189
나아,76,183
가가,67,143
나카,77,182
마사,61,142
아차,43,161
마카,60,199
바사,96,154
타라,92,151
자카,77,171
파차,96,151
카파,79,159
아아,87,163
카마,81,143
자하,61,190
자아,57,160
하타,62,140
